timestamp,body_region,pressure_avg,pressure_variation,motor_current,skin_temperature,posture_angle,emg_activity,massage_intensity,session_duration,discomfort_level,reference_stiffness,is_stiff
2026-08-01 09:00:00,Middle_Back,18.33,2.2,0.74,34.22,17.71,0.57,22.33,15.8,4,58.24,0
2026-08-01 09:01:00,Lower_Back,34.39,2.11,0.84,34.92,21.3,0.19,31.21,15.31,1,43.94,0
2026-08-01 09:02:00,Lower_Back,49.28,6.39,0.4,34.78,38.45,0.75,69.87,6.44,6,98.81,1
2026-08-01 09:03:00,Middle_Back,42.95,2.12,0.7,32.96,15.3,0.54,66.01,18.84,3,52.71,0
2026-08-01 09:04:00,Upper_Back,46.3,2.27,0.66,32.95,39.13,0.18,41.04,13.53,4,54.95,0
2026-08-01 09:05:00,Upper_Back,39.65,5.44,0.87,33.3,3.97,0.82,42.61,10.46,0,18.27,0
2026-08-01 09:06:00,Upper_Back,41.15,3.42,0.92,33.58,34.96,0.46,52.01,16.35,0,65.63,0
2026-08-01 09:07:00,Lower_Back,48.21,5.55,0.21,33.73,38.14,0.11,20.01,8.86,6,54.47,0
2026-08-01 09:08:00,Lower_Back,21.24,0.92,0.74,34.54,8.18,0.55,34.47,15.4,1,26.03,0
2026-08-01 09:09:00,Lower_Back,32.02,3.67,0.24,32.67,19.37,0.25,32.49,5.6,5,35.0,0
2026-08-01 09:10:00,Upper_Back,19.95,0.72,0.64,32.6,7.45,0.69,35.03,17.59,0,44.88,0
2026-08-01 09:11:00,Lower_Back,54.45,0.91,0.43,33.68,31.8,0.7,68.35,11.72,7,100.0,1
2026-08-01 09:12:00,Lower_Back,52.48,6.39,0.45,34.59,24.09,0.83,36.78,14.55,0,72.73,1
2026-08-01 09:13:00,Upper_Back,11.77,1.41,0.48,33.08,28.59,0.45,31.49,8.32,0,30.85,0
2026-08-01 09:14:00,Upper_Back,41.75,3.96,0.7,34.42,8.84,0.41,50.26,15.16,3,24.01,0
2026-08-01 09:15:00,Upper_Back,51.64,3.17,0.47,33.28,9.53,0.65,71.94,16.58,0,49.57,0
2026-08-01 09:16:00,Middle_Back,18.13,2.76,0.79,35.16,1.87,0.16,34.48,12.1,2,27.62,0
2026-08-01 09:17:00,Middle_Back,35.56,6.35,0.52,35.19,14.49,0.49,24.71,14.27,4,38.41,0
2026-08-01 09:18:00,Middle_Back,51.2,0.64,0.25,33.39,25.19,0.49,41.38,11.84,6,36.7,0
2026-08-01 09:19:00,Upper_Back,11.53,4.81,0.83,33.19,38.61,0.12,64.86,18.41,0,48.69,0
2026-08-01 09:20:00,Lower_Back,41.38,6.76,0.43,33.73,30.01,0.38,53.04,12.47,5,73.92,1
2026-08-01 09:21:00,Upper_Back,23.38,4.14,0.55,33.22,19.59,0.73,69.01,17.63,7,38.06,0
2026-08-01 09:22:00,Upper_Back,51.6,6.59,0.75,34.52,42.89,0.73,77.58,17.02,5,94.21,1
2026-08-01 09:23:00,Middle_Back,53.7,0.84,0.47,34.98,32.37,0.13,67.56,11.16,0,59.28,0
2026-08-01 09:24:00,Middle_Back,52.49,3.22,0.25,34.52,41.86,0.12,56.23,8.45,0,59.57,0
2026-08-01 09:25:00,Lower_Back,31.34,2.19,0.5,34.97,23.74,0.26,49.6,11.09,2,37.45,0
2026-08-01 09:26:00,Upper_Back,48.79,5.25,0.96,33.69,11.65,0.75,22.4,17.39,0,60.01,0
2026-08-01 09:27:00,Middle_Back,48.0,6.88,0.71,32.97,2.38,0.15,79.06,8.41,0,21.35,0
2026-08-01 09:28:00,Middle_Back,24.36,2.17,0.74,34.71,32.67,0.63,43.01,12.87,4,48.52,0
2026-08-01 09:29:00,Upper_Back,47.3,4.75,0.71,33.58,5.46,0.13,29.13,17.09,5,5.53,0
2026-08-01 09:30:00,Lower_Back,11.67,1.79,0.36,34.51,13.62,0.55,60.0,10.3,2,47.01,0
